state,date,sex,ethnicity,annual_birth,annual_death,age,population
Pahang,2009-01-01,both,overall,26057,7428,overall,1481700
Pahang,2010-01-01,both,overall,25946,7722,overall,1501900
Pahang,2011-01-01,both,overall,27079,7812,overall,1526800
Pahang,2012-01-01,both,overall,27411,7791,overall,1547100
Pahang,2013-01-01,both,overall,26968,8146,overall,1568700
Pahang,2014-01-01,both,overall,28743,8301,overall,1591700
Pahang,2015-01-01,both,overall,28059,8471,overall,1607900
Pahang,2016-01-01,both,overall,27626,8878,overall,1626700
Pahang,2017-01-01,both,overall,27555,9261,overall,1647000
Pahang,2018-01-01,both,overall,27006,9246,overall,1664700
Pahang,2019-01-01,both,overall,25887,9179,overall,1671400
Pahang,2020-01-01,both,overall,25344,8686,overall,1591300
Pahang,2021-01-01,both,overall,24507,10366,overall,1601500
Pahang,2022-01-01,both,overall,23568,11022,overall,1614300
Perak,2000-01-01,both,overall,48589,13194,overall,2091700
Perak,2001-01-01,both,overall,43533,13577,overall,2129000
Perak,2002-01-01,both,overall,42289,14345,overall,2161800
Perak,2003-01-01,both,overall,39822,14561,overall,2192100
Perak,2004-01-01,both,overall,39012,14401,overall,2222100
Perak,2005-01-01,both,overall,37369,14348,overall,2251100
Perak,2006-01-01,both,overall,36835,14429,overall,2279300
Perak,2007-01-01,both,overall,36628,14913,overall,2306400
Perak,2008-01-01,both,overall,37174,15395,overall,2331600
Perak,2009-01-01,both,overall,37203,15741,overall,2355700
Perak,2010-01-01,both,overall,36026,15440,overall,2379000
Perak,2011-01-01,both,overall,37522,16012,overall,2402700
Perak,2012-01-01,both,overall,37712,16395,overall,2427000
Perak,2013-01-01,both,overall,35427,16386,overall,2447200
Perak,2014-01-01,both,overall,36586,16925,overall,2458800
Perak,2015-01-01,both,overall,36284,17159,overall,2466900
Perak,2016-01-01,both,overall,35685,17820,overall,2482100
Perak,2017-01-01,both,overall,34838,18047,overall,2493200
Perak,2018-01-01,both,overall,33869,18600,overall,2503500
Perak,2019-01-01,both,overall,33005,18740,overall,2508800
Perak,2020-01-01,both,overall,31582,17946,overall,2496000
Perak,2021-01-01,both,overall,30816,21303,overall,2515800
Perak,2022-01-01,both,overall,29543,22341,overall,2514400
Perlis,2000-01-01,both,overall,4651,1307,overall,207600
Perlis,2001-01-01,both,overall,4340,1335,overall,210400
Perlis,2002-01-01,both,overall,4225,1378,overall,213200
Perlis,2003-01-01,both,overall,4058,1416,overall,216000
Perlis,2004-01-01,both,overall,3964,1426,overall,218800
Perlis,2005-01-01,both,overall,3932,1452,overall,221600
Perlis,2006-01-01,both,overall,3891,1462,overall,224400
Perlis,2007-01-01,both,overall,3946,1491,overall,227200
Perlis,2008-01-01,both,overall,4175,1618,overall,230100
Perlis,2009-01-01,both,overall,4237,1580,overall,233000
Perlis,2010-01-01,both,overall,4114,1683,overall,235800
Perlis,2011-01-01,both,overall,4161,1637,overall,237300
Perlis,2012-01-01,both,overall,4143,1655,overall,239400
Perlis,2013-01-01,both,overall,4050,1741,overall,242100
Perlis,2014-01-01,both,overall,4509,1671,overall,245100
Perlis,2015-01-01,both,overall,4315,1767,overall,248500
Perlis,2016-01-01,both,overall,4392,1884,overall,251000
Perlis,2017-01-01,both,overall,4447,2004,overall,252000
